Plate,Summons Number,Issue Date,Violation Time,Violation,Judgment Entry Date,Fine Amount,Payment Amount,Amount Due,Violation Status
28440JU,8955519825,05/12/2022,10:23A,NO PARKING-STREET CLEANING,,65.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
45450MG,5600858486,05/14/2021,09:34A,NO STANDING-SNOW EMERGENCY,,100.00,100.00,0.00,HEARING HELD-GUILTY REDUCTION
65572JU,1463282734,11/13/2019,09:45A,NO STANDING-BUS LANE,,115.00,100.00,0.00,HEARING HELD-GUILTY REDUCTION
45450MG,8790627714,01/21/2020,06:06P,NO PARKING-DAY/TIME LIMITS,,60.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
86838JT,8519448951,08/07/2019,10:35A,FAIL TO DSPLY MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
48549JW,1463520189,11/15/2019,11:12A,NO PARKING-STREET CLEANING,,65.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
28426JU,8799065381,06/10/2020,01:25P,FAIL TO DISP. MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
98853JZ,8772683235,02/03/2020,09:37A,NO PARKING-STREET CLEANING,,45.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
86838JT,8791880464,01/22/2020,12:09P,EXPIRED MUNI METER,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
19227MC,8733746760,03/02/2020,12:16P,FAIL TO DSPLY MUNI METER RECPT,,35.00,35.00,0.00,
84067JW,8797819888,01/23/2020,01:08P,FIRE HYDRANT,,115.00,115.00,0.00,HEARING HELD-GUILTY REDUCTION
45450MG,8790824556,01/23/2020,12:18P,DOUBLE PARKING,,115.00,35.00,0.00,HEARING HELD-GUILTY REDUCTION
28426JU,8790824568,01/23/2020,12:19P,DOUBLE PARKING,,115.00,35.00,0.00,HEARING HELD-GUILTY REDUCTION
28440JU,8774435012,02/04/2020,01:36P,FAIL TO DSPLY MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
64999JV,8793464836,01/17/2020,10:02A,DOUBLE PARKING,,115.00,35.00,0.00,HEARING HELD-GUILTY REDUCTION
91731JA,8793013231,01/23/2020,11:37A,NO PARKING-DAY/TIME LIMITS,,60.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
48549JW,8796531344,01/28/2020,01:58P,DOUBLE PARKING,,115.00,35.00,0.00,HEARING HELD-GUILTY REDUCTION
11101JC,8796907691,01/29/2020,10:19A,FAIL TO DISP. MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
26364ME,8797110218,01/24/2020,02:04P,FAIL TO DISP. MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
19227MC,4667740620,10/01/2019,04:33P,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,75.00,0.00,
64999JV,8738045310,03/17/2020,09:49A,NO PARKING-DAY/TIME LIMITS,,65.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
98853JZ,8797867433,01/29/2020,03:43P,FIRE HYDRANT,,115.00,115.00,0.00,HEARING HELD-GUILTY REDUCTION
64999JV,8780174152,02/19/2020,05:15P,NO STANDING-DAY/TIME LIMITS,,115.00,100.00,0.00,HEARING HELD-GUILTY REDUCTION
41748MH,8799004409,01/23/2020,12:09P,NO PARKING-DAY/TIME LIMITS,,65.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
86838JT,8778530611,02/18/2020,12:35P,FAIL TO DISP. MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
28427JU,8802355241,01/27/2020,04:01P,FAIL TO DISP. MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
11101JC,8730649845,09/26/2019,01:51P,FAIL TO DSPLY MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
86838JT,8804307833,01/16/2020,09:26A,NO PARKING-STREET CLEANING,,45.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
98853JZ,1464448978,01/08/2020,06:58P,SIDEWALK,,115.00,100.00,0.00,HEARING HELD-GUILTY REDUCTION
28426JU,8622177853,11/27/2020,11:46A,NO PARKING-STREET CLEANING,,65.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
11101JC,4685361404,04/13/2020,06:29P,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,50.00,0.00,HEARING HELD-GUILTY REDUCTION
98853JZ,4675144391,12/31/2019,10:59A,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,50.00,0.00,HEARING HELD-GUILTY REDUCTION
72226JM,8772434521,03/16/2020,12:01P,NO PARKING-DAY/TIME LIMITS,,65.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
19563MH,4020125703,10/14/2021,09:58A,BUS LANE VIOLATION,,100.00,100.00,0.00,HEARING HELD-GUILTY REDUCTION
19227MC,8624677920,10/19/2020,10:03A,BIKE LANE,,115.00,115.00,0.00,
28426JU,1466156867,11/08/2021,08:32A,NO PARKING-DAY/TIME LIMITS,,60.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
64999JV,8784033381,03/16/2020,06:05P,FAIL TO DSPLY MUNI METER RECPT,,35.00,30.00,0.00,HEARING HELD-GUILTY REDUCTION
48549JW,8749460882,09/03/2020,09:35A,NO PARKING-STREET CLEANING,,65.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
11101JC,8786140668,03/25/2020,12:57P,NO PARKING-DAY/TIME LIMITS,,60.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
41748MH,8809920077,03/19/2020,11:24A,NO PARKING-DAY/TIME LIMITS,,65.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
91731JA,8809920107,03/19/2020,11:38A,EXPIRED MUNI METER,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
29765MA,8758306109,08/14/2020,02:09P,FIRE HYDRANT,,115.00,115.00,0.00,HEARING HELD-GUILTY REDUCTION
29765MA,8789675496,03/18/2020,03:16A,STORAGE-3HR COMMERCIAL,,65.00,30.00,0.00,HEARING HELD-GUILTY REDUCTION
22409MB,8790433105,03/20/2020,09:22A,FAIL TO DSPLY MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
45450MG,8790678746,03/20/2020,10:07A,NO PARKING-DAY/TIME LIMITS,,60.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
14620JZ,8792572753,07/20/2020,03:04P,FIRE HYDRANT,,115.00,115.00,0.00,HEARING HELD-GUILTY REDUCTION
29765MA,8762092029,08/18/2020,10:35A,EXPIRED MUNI METER,,35.00,30.00,0.00,HEARING HELD-GUILTY REDUCTION
84067JW,4020931689,11/16/2021,11:52A,BUS LANE VIOLATION,,100.00,100.00,0.00,HEARING HELD-GUILTY REDUCTION
45450MG,8762238863,08/12/2020,04:49P,FAIL TO DISP. MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
26364ME,1455861789,01/02/2020,11:44A,NO PARKING-DAY/TIME LIMITS,,65.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
28440JU,1455862435,01/02/2020,10:10A,NO STANDING-DAY/TIME LIMITS,,115.00,100.00,0.00,HEARING HELD-GUILTY REDUCTION
71860JT,4018098820,07/12/2021,09:27A,BUS LANE VIOLATION,,50.00,50.00,0.00,HEARING HELD-GUILTY REDUCTION
29765MA,1455873032,01/02/2020,01:50P,FIRE HYDRANT,,115.00,115.00,0.00,HEARING HELD-GUILTY REDUCTION
28426JU,8793170944,03/18/2020,11:29A,FAIL TO DSPLY MUNI METER RECPT,,35.00,30.00,0.00,HEARING HELD-GUILTY REDUCTION
72226JM,8793774035,06/19/2020,06:33P,FAIL TO DSPLY MUNI METER RECPT,,35.00,30.00,0.00,HEARING HELD-GUILTY REDUCTION
71878JT,9055891459,05/19/2023,07:23A,FIRE HYDRANT,,115.00,115.00,0.00,HEARING HELD-GUILTY REDUCTION
19563MH,8683198248,11/02/2020,01:13P,NON-COMPLIANCE W/ POSTED SIGN,,60.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
45450MG,8902819759,11/12/2021,02:31P,FAIL TO DISP. MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
57273MD,8914172636,12/01/2021,12:43P,DOUBLE PARKING-MIDTOWN COMML,,115.00,100.00,0.00,HEARING HELD-GUILTY REDUCTION
22409MB,8920835469,11/24/2021,11:07A,FIRE HYDRANT,,115.00,115.00,0.00,HEARING HELD-GUILTY REDUCTION
GRU5328,4018312520,07/21/2021,11:51A,BUS LANE VIOLATION,,50.00,50.00,0.00,
19563MH,8818617400,07/13/2020,12:29P,SAFETY ZONE,,115.00,100.00,0.00,HEARING HELD-GUILTY REDUCTION
28440JU,8621820286,10/03/2019,02:10P,FIRE HYDRANT,,115.00,115.00,0.00,HEARING HELD-GUILTY REDUCTION
13743JK,8988315406,11/03/2021,12:14P,NO PARKING-DAY/TIME LIMITS,,60.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
13894JU,9072436635,08/22/2023,09:43A,FAIL TO DSPLY MUNI METER RECPT,,35.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
71860JT,9074638211,08/29/2023,12:34P,NO PARKING-STREET CLEANING,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
41748MH,9077247087,09/07/2023,01:05P,NO STANDING-DAY/TIME LIMITS,,115.00,90.00,0.00,HEARING HELD-GUILTY REDUCTION
71878JT,9078040208,09/01/2023,10:09A,FAIL TO DISP. MUNI METER RECPT,,65.00,50.00,0.00,HEARING HELD-GUILTY REDUCTION
11101JC,4739893101,07/13/2021,08:16A,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,50.00,0.00,HEARING HELD-GUILTY REDUCTION
28427JU,5600080499,03/27/2020,12:30P,NO STANDING-SNOW EMERGENCY,,50.00,50.00,0.00,HEARING HELD-GUILTY REDUCTION
67300JV,8576640843,10/21/2019,01:00P,EXPIRED MUNI MTR-COMM MTR ZN,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
28440JU,4020806056,11/11/2021,01:32P,BUS LANE VIOLATION,,100.00,100.00,0.00,HEARING HELD-GUILTY REDUCTION
67300JV,4019399517,09/13/2021,09:13A,BUS LANE VIOLATION,,100.00,100.00,0.00,HEARING HELD-GUILTY REDUCTION
29765MA,8623008224,09/05/2019,03:31P,EXPIRED MUNI METER,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
19227MC,8539823123,11/26/2019,01:43P,EXPIRED MUNI METER,,35.00,35.00,0.00,
22409MB,2003727814,12/10/2021,09:21A,NO PARKING-STREET CLEANING,,65.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
71860JT,8621599223,09/04/2019,11:36A,NO PARKING-DAY/TIME LIMITS,,65.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
84067JW,8476727770,08/13/2019,03:34P,EXPIRED MUNI MTR-COMM MTR ZN,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
48549JW,8488615577,08/01/2019,10:03A,INSP. STICKER-EXPIRED/MISSING,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
22409MB,8824155091,03/20/2020,05:59P,INSP. STICKER-EXPIRED/MISSING,,65.00,30.00,0.00,HEARING HELD-GUILTY REDUCTION
19227MC,8666239098,11/19/2020,02:41P,DOUBLE PARKING-MIDTOWN COMML,,115.00,115.00,0.00,HEARING HELD-GUILTY
28427JU,8752094121,01/18/2022,10:17A,NO PARKING-DAY/TIME LIMITS,,65.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
48549JW,8576645038,11/08/2019,10:45A,FIRE HYDRANT,,115.00,115.00,0.00,HEARING HELD-GUILTY REDUCTION
98853JZ,8620595362,10/17/2019,08:00A,FAIL TO DISP. MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
57273MD,8766397868,01/24/2022,10:06A,FAIL TO DISP. MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
28440JU,1447918101,04/25/2019,04:40P,DOUBLE PARKING,,115.00,35.00,0.00,HEARING HELD-GUILTY REDUCTION
72226JM,1457459073,04/29/2019,09:47A,DOUBLE PARKING-MIDTOWN COMML,,115.00,100.00,0.00,HEARING HELD-GUILTY REDUCTION
98853JZ,4656197282,05/07/2019,03:07P,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,50.00,0.00,HEARING HELD-GUILTY REDUCTION
28440JU,8531923803,06/21/2019,09:53A,NO STANDING-BUS LANE,,115.00,100.00,0.00,HEARING HELD-GUILTY REDUCTION
48549JW,4013514072,04/09/2020,08:46A,BUS LANE VIOLATION,,50.00,50.00,0.00,HEARING HELD-GUILTY REDUCTION
91731JA,8624020153,05/09/2019,10:35A,FAIL TO DSPLY MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
98853JZ,8636985924,06/20/2019,11:29A,NO PARKING-DAY/TIME LIMITS,,60.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
22409MB,8649879809,06/21/2019,01:42P,EXPIRED MUNI METER,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
19563MH,4013602465,04/23/2020,11:24A,BUS LANE VIOLATION,,50.00,50.00,0.00,HEARING HELD-GUILTY REDUCTION
11101JC,8707784820,05/10/2019,10:07A,NO STANDING-DAY/TIME LIMITS,,115.00,100.00,0.00,HEARING HELD-GUILTY REDUCTION
19227MC,8651984352,06/25/2019,09:35A,NO PARKING-STREET CLEANING,,45.00,0.00,0.00,HEARING HELD-NOT GUILTY
98853JZ,8716327470,05/10/2019,08:45A,NO PARKING-DAY/TIME LIMITS,,60.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
11101JC,8717128699,05/13/2019,10:09A,NO PARKING-STREET CLEANING,,45.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
29765MA,8719923818,05/09/2019,03:25P,EXPIRED MUNI METER,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
45450MG,8678263969,06/21/2019,11:40A,FAIL TO DSPLY MUNI METER RECPT,,35.00,30.00,0.00,HEARING HELD-GUILTY REDUCTION
26364ME,8725113185,05/08/2019,10:41A,FAIL TO DSPLY MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
67300JV,8728518342,05/10/2019,11:06A,NO PARKING-STREET CLEANING,,65.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
48660JW,8728889290,05/10/2019,11:33A,NO PARKING-STREET CLEANING,,45.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
28427JU,8730912027,05/13/2019,02:54P,FAIL TO DISP. MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
98853JZ,8735504857,05/09/2019,09:04A,NO STANDING-DAY/TIME LIMITS,,115.00,100.00,0.00,HEARING HELD-GUILTY REDUCTION
48660JW,4013637686,04/29/2020,03:31P,BUS LANE VIOLATION,,50.00,50.00,0.00,HEARING HELD-GUILTY REDUCTION
67300JV,8693595222,06/19/2019,12:10P,NO PARKING-DAY/TIME LIMITS,,60.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
11101JC,8744604506,05/14/2019,10:39A,FAIL TO DSPLY MUNI METER RECPT,,35.00,30.00,0.00,HEARING HELD-GUILTY REDUCTION
48549JW,8750951774,05/14/2019,12:11P,EXPIRED MUNI MTR-COMM MTR ZN,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
48549JW,8751002700,05/10/2019,11:06A,NO PARKING-STREET CLEANING,,65.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
22409MB,8698093802,06/25/2019,10:39A,FAIL TO DSPLY MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
72226JM,8698416524,06/19/2019,01:12P,NO STANDING-DAY/TIME LIMITS,,115.00,100.00,0.00,HEARING HELD-GUILTY REDUCTION
26364ME,8699588239,06/19/2019,01:30P,FAIL TO DSPLY MUNI METER RECPT,,35.00,30.00,0.00,HEARING HELD-GUILTY REDUCTION
29765MA,8699588240,06/19/2019,01:34P,EXPIRED MUNI METER,,35.00,30.00,0.00,HEARING HELD-GUILTY REDUCTION
19227MC,8773627367,03/05/2020,08:51A,NO STANDING-DAY/TIME LIMITS,,115.00,115.00,0.00,HEARING HELD-GUILTY
13894JU,8624142088,06/03/2019,10:41A,SIDEWALK,,115.00,100.00,0.00,HEARING HELD-GUILTY REDUCTION
91731JA,4021220987,11/29/2021,01:33P,BUS LANE VIOLATION,,100.00,100.00,0.00,HEARING HELD-GUILTY REDUCTION
26364ME,8725214652,06/03/2019,12:11P,FAIL TO DISP. MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
64999JV,8733831580,06/03/2019,03:46P,NO STANDING-DAY/TIME LIMITS,,115.00,100.00,0.00,HEARING HELD-GUILTY REDUCTION
26364ME,8750956929,06/04/2019,12:24P,FAIL TO DSPLY MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
19563MH,8756654236,06/03/2019,10:43A,NO PARKING-DAY/TIME LIMITS,,60.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
41748MH,8756654248,06/03/2019,11:36A,SIDEWALK,,115.00,100.00,0.00,HEARING HELD-GUILTY REDUCTION
69065ME,8756654522,06/04/2019,11:55A,CROSSWALK,,115.00,100.00,0.00,HEARING HELD-GUILTY REDUCTION
28440JU,8722483408,06/24/2019,09:11A,FAIL TO DSPLY MUNI METER RECPT,,35.00,30.00,0.00,HEARING HELD-GUILTY REDUCTION
64999JV,8727072861,06/20/2019,11:10A,NO PARKING-STREET CLEANING,,65.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
29765MA,8727913843,06/24/2019,10:05A,NO PARKING-STREET CLEANING,,65.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
67300JV,8729474838,06/20/2019,10:28A,NO PARKING-DAY/TIME LIMITS,,60.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
57273MD,8729474851,06/20/2019,10:31A,NO PARKING-DAY/TIME LIMITS,,60.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
19563MH,8733214475,06/19/2019,10:21A,NO STANDING-DAY/TIME LIMITS,,115.00,100.00,0.00,HEARING HELD-GUILTY REDUCTION
64999JV,8737475320,06/21/2019,02:38P,FAIL TO DSPLY MUNI METER RECPT,,35.00,30.00,0.00,HEARING HELD-GUILTY REDUCTION
57273MD,8738866316,06/25/2019,10:18A,FAIL TO DSPLY MUNI METER RECPT,,35.00,30.00,0.00,HEARING HELD-GUILTY REDUCTION
26364ME,8743007685,06/20/2019,10:28A,NO STANDING-DAY/TIME LIMITS,,115.00,100.00,0.00,HEARING HELD-GUILTY REDUCTION
41748MH,8744016955,06/24/2019,11:33A,NO PARKING-STREET CLEANING,,65.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
57273MD,8745463803,06/19/2019,01:02P,NO PARKING-DAY/TIME LIMITS,,60.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
84067JW,8750960726,06/19/2019,11:21A,NO STANDING-DAY/TIME LIMITS,,115.00,100.00,0.00,HEARING HELD-GUILTY REDUCTION
57273MD,8756656439,06/24/2019,08:49A,NO PARKING-DAY/TIME LIMITS,,60.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
98853JZ,4688978194,05/05/2020,08:12A,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,50.00,0.00,HEARING HELD-GUILTY REDUCTION
41748MH,4013995244,06/04/2020,01:12P,BUS LANE VIOLATION,,150.00,150.00,0.00,HEARING HELD-GUILTY REDUCTION
98853JZ,4745416283,08/20/2021,04:56P,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,50.00,0.00,HEARING HELD-GUILTY REDUCTION
26364ME,8783583841,02/13/2020,03:15P,FAIL TO DSPLY MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
98853JZ,4689180738,05/06/2020,08:26A,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,50.00,0.00,HEARING HELD-GUILTY REDUCTION
19227MC,1459128461,06/24/2019,10:38A,TRAFFIC LANE,,115.00,125.00,0.00,
22409MB,8562892026,07/03/2019,01:35P,EXPIRED MUNI METER,,35.00,30.00,0.00,HEARING HELD-GUILTY REDUCTION
72226JM,8670826847,07/09/2019,09:31A,FAIL TO DSPLY MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
71878JT,8699996627,07/03/2019,01:08P,EXPIRED MUNI MTR-COMM MTR ZN,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
84067JW,8703495772,07/09/2019,01:24P,NO STANDING-DAY/TIME LIMITS,,115.00,100.00,0.00,HEARING HELD-GUILTY REDUCTION
91731JA,8713946018,07/05/2019,09:32A,NO PARKING-DAY/TIME LIMITS,,60.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
26364ME,8721771200,07/09/2019,11:22P,NGHT PKG ON RESID STR-COMM VEH,,65.00,30.00,0.00,HEARING HELD-GUILTY REDUCTION
57273MD,8729477402,07/03/2019,10:14A,NO PARKING-DAY/TIME LIMITS,,60.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
67300JV,8732544170,07/08/2019,10:13A,NO PARKING-DAY/TIME LIMITS,,60.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
64999JV,8732929481,07/03/2019,09:27A,NO STANDING-EXC. AUTH. VEHICLE,,95.00,60.00,0.00,HEARING HELD-GUILTY REDUCTION
19563MH,8735207980,07/09/2019,11:16A,DOUBLE PARKING,,115.00,35.00,0.00,HEARING HELD-GUILTY REDUCTION
19563MH,8760454209,07/03/2019,01:16P,DOUBLE PARKING-MIDTOWN COMML,,115.00,100.00,0.00,HEARING HELD-GUILTY REDUCTION
13894JU,4694362380,06/11/2020,07:36A,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,50.00,0.00,HEARING HELD-GUILTY REDUCTION
19227MC,8761672774,07/02/2019,09:15A,NO PARKING-STREET CLEANING,,65.00,0.00,0.00,HEARING HELD-NOT GUILTY
29765MA,1459979217,07/09/2019,11:45A,NO PARKING-STREET CLEANING,,45.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
84067JW,1459979333,07/12/2019,09:05A,NO PARKING-STREET CLEANING,,45.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
57273MD,4023814350,05/02/2022,07:44P,BUS LANE VIOLATION,,50.00,50.00,0.00,HEARING HELD-GUILTY REDUCTION
28440JU,8506390126,07/25/2019,12:48P,FIRE HYDRANT,,115.00,115.00,0.00,HEARING HELD-GUILTY REDUCTION
28440JU,8540237313,07/24/2019,01:40P,FAIL TO DISP. MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
98853JZ,8776353084,08/15/2020,11:21A,FAIL TO DISP. MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
71878JT,8681202273,07/29/2019,04:09P,OVERTIME PKG-TIME LIMIT POSTED,,65.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
71878JT,4695929466,06/24/2020,03:39P,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,50.00,0.00,HEARING HELD-GUILTY REDUCTION
19563MH,8721641171,07/26/2019,01:40P,NO PARKING-DAY/TIME LIMITS,,65.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
98853JZ,8725628793,07/26/2019,11:12A,FIRE HYDRANT,,115.00,115.00,0.00,HEARING HELD-GUILTY REDUCTION
57273MD,8732549866,07/24/2019,11:02A,FAIL TO DSPLY MUNI METER RECPT,,35.00,30.00,0.00,HEARING HELD-GUILTY REDUCTION
22409MB,8744022736,07/24/2019,10:08A,FAIL TO DSPLY MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
57273MD,8745471198,07/26/2019,01:13P,FAIL TO DSPLY MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
98853JZ,8746022314,07/26/2019,03:50P,NO STANDING-DAY/TIME LIMITS,,115.00,100.00,0.00,HEARING HELD-GUILTY REDUCTION
98853JZ,8751018500,07/26/2019,10:06A,FAIL TO DSPLY MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
57273MD,8756664140,07/29/2019,09:30A,FAIL TO DSPLY MUNI METER RECPT,,35.00,30.00,0.00,HEARING HELD-GUILTY REDUCTION
26364ME,8757356749,07/25/2019,11:54A,FAIL TO DISP. MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
26364ME,8757661741,07/29/2019,02:26P,FAIL TO DSPLY MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
64999JV,4696262560,06/26/2020,03:01P,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,50.00,0.00,HEARING HELD-GUILTY REDUCTION
98853JZ,8499431252,03/13/2020,05:34P,NO STANDING-DAY/TIME LIMITS,,115.00,100.00,0.00,HEARING HELD-GUILTY REDUCTION
41748MH,8499946185,03/16/2020,09:57A,NO STANDING-DAY/TIME LIMITS,,115.00,100.00,0.00,HEARING HELD-GUILTY REDUCTION
57273MD,8812625691,03/15/2021,09:43A,NO PARKING-STREET CLEANING,,65.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
19563MH,1473939720,04/29/2020,11:22A,DOUBLE PARKING,,115.00,35.00,0.00,HEARING HELD-GUILTY REDUCTION
41748MH,8768813892,09/11/2020,12:53P,NO PARKING-DAY/TIME LIMITS,,65.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
84067JW,5119259870,02/03/2022,08:14A,FAILURE TO STOP AT RED LIGHT,,50.00,50.00,0.00,HEARING HELD-GUILTY REDUCTION
65572JU,1465708340,01/07/2020,09:37A,NO PARKING-STREET CLEANING,,45.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
11101JC,8648108860,11/20/2019,01:23P,FAIL TO DSPLY MUNI METER RECPT,,35.00,30.00,0.00,HEARING HELD-GUILTY REDUCTION
72226JM,4013486349,04/05/2020,09:56A,BUS LANE VIOLATION,,50.00,50.00,0.00,HEARING HELD-GUILTY REDUCTION
84067JW,8716079474,09/06/2019,08:15A,FAIL TO DISP. MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
28440JU,8770191414,09/04/2020,03:16P,NO PARKING-DAY/TIME LIMITS,,60.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
98853JZ,4013558040,04/15/2020,01:44P,BUS LANE VIOLATION,,50.00,50.00,0.00,HEARING HELD-GUILTY REDUCTION
84067JW,4743764129,08/09/2021,04:40P,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,50.00,0.00,HEARING HELD-GUILTY REDUCTION
22409MB,8725226800,09/04/2019,10:19A,FAIL TO DSPLY MUNI METER RECPT,,65.00,40.00,0.00,HEARING HELD-GUILTY REDUCTION
48549JW,8728948804,08/28/2019,01:36P,FIRE HYDRANT,,115.00,115.00,0.00,HEARING HELD-GUILTY REDUCTION
64999JV,4697831378,07/02/2020,07:41A,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,50.00,0.00,HEARING HELD-GUILTY REDUCTION
86838JT,8701644063,10/17/2019,09:50A,NO PARKING-DAY/TIME LIMITS,,65.00,25.00,0.00,HEARING HELD-GUILTY REDUCTION
